Units Reference,Unit Name,Tenant Name,Property Name,Property Address,Lease Start Date,Lease End Date,Lease Years,Next Rent Review,Current Rent,Unit type
11224/001,Cottingley Heights,M24 (Seven) Metronet UK Ltd,Cottingley Heights,LS11 0JL,12-Aug-10,11-Aug-20,10,12-Aug-13,25576.94,Antenna
11160/002,Cottingley Towers,Internexus Networks Ltd,Cottingley Towers,LS11 0JJ,08-Aug-18,07-Feb-28,10,08-Feb-21,5000,Tele Comm
11160/001,Cottingley Towers,Everything Everywhere Ltd & Hutchinson 3G UK (MBNL),Cottingley Towers,LS11 0JH,28-Jan-08,27-Jan-18,10,28-Jan-13,12750,Antenna
11197/003,Crescent Grange,M24 (Seven) Metronet UK Ltd,Crescent Grange,LS11 5UN,15-Apr-15,10-Dec-25,0,n/a,18000,Tele Comm
11197/004,CrescentGrange-,Arqiva Ltd,Crescent Grange,LS11 5UN,08-Sep-16,07-Sep-40,24,08-Sep-19,6700,Tele Comm
11239/001,Crescent Towers,Internexus Networks Ltd,Crescent Towers,LS11 5UP,13-Aug-15,12-Aug-25,10,13-Aug-18,3500,Tele Comm
14039/002,Parklands Children's Centre,Virgin Media Limited,Dufton Approach,LS14 6EB,19-Feb-16,n/a,0,n/a,0,Tele Comm
13027/002,Gamble Hill Croft,Internexus Networks Ltd,Gamble Hill Croft ,LS13 4TQ,13-Aug-15,12-Aug-25,10,13-Aug-18,3500,Tele Comm
09242/001,Gipton Gate East ,CTIL (Vodafone/O2/T Mobile) Cornerstone Telecommunications Infrastructure Ltd,Gipton Gate East (Block 62-121),LS9 6SU,31-Mar-15,30-Mar-30,15,31-Mar-20,15000,Antenna
09209/001,Gipton Gate West,Everything Everywhere Ltd & Hutchinson 3G UK (MBNL),Gipton Gate West,LS9 6BZ,01-Apr-08,31-Mar-18,10,n/a,12750,Antenna
08101/004,Gledhow Towers ,Internexus Networks Ltd,,LS8 1QJ,08-Feb-18,07-Feb-28,10,08-Feb-21,5000,Tele Comm
08101/001,Gledhow Towers ,Everything Everywhere Ltd & Hutchinson 3G UK (MBNL),Gledhow Towers - Telecom App,LS8 1QJ,20-May-08,19-May-18,10,n/a,12750,Antenna
08101/002,Gledhow Towers,CTIL (Vodafone/O2/T Mobile) Cornerstone Telecommunications Infrastructure Ltd,Gledhow Towers - Telecom App,LS8 1QJ,31-Mar-15,30-Mar-30,15,31-Mar-20,15000,Antenna
08101/003,Gledhow Towers ,Virgin Media Limited,Gledhow Towers - Telecom App,LS8 1QJ,01-Jun-13,n/a,0,n/a,0,Tele Comm
05041/002,Eden Mount Grayson Crest,Internexus Networks Ltd,Grayson Crest,LS4 2UB,13-Aug-15,12-Aug-25,10,13-Aug-18,0,Antenna
